iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,AOX,1,1,0.312,11.8182,0.096,0.32,0.32,0.36,3.45455,9.81818,12,10.9091
50,PMX,1,1,0.424,10.7273,0.128,0.4,0.152,0.368,4.36364,8,5.09091,8.72727
100,GrPX,1,1,0.48,13.6364,0.255814,0.310078,0.384,0.4,6.18182,9.27273,8.36364,12.9091
150,GrPX,1,1,0.392,11.2727,0.210938,0.265625,0.24,0.448,4.72727,7.81818,4.72727,12.5455
200,AOX,1,1,0.336,10.1818,0.24,0.176,0.36,0.384,9.09091,6.54545,10.7273,10.7273
250,EAX,0,1,0.368,8.18182,0.0655738,0.319672,0.344,0.416,14,14.7273,6.90909,11.4545
300,EAX,0,1,0.376,9.27273,0.0491803,0.360656,0.424,0.456,10.1818,15.8182,10.5455,12.1818
350,GOX,1,1,0.416,9.45455,0.104,0.432,0.304,0.432,5.09091,13.2727,11.6364,12.1818
400,LOX,1,1,0.376,12.7273,0.344,0.2,0.344,0.472,10,6.72727,9.09091,11.0909
450,GOX,0,1,0.408,8.54545,0.4,0.192,0.296,0.368,10.9091,9.09091,5.81818,9.09091
500,UOX,1,1,0.424,10.3636,0.6,0.704,0.304,0.32,9.09091,10.5455,6.54545,7.27273
550,UOX,1,1,0,0,0,0,0,0,0,0,0,0
600,OX,0,1,0.352,11.8182,0.272,0.272,0.336,0.216,9.45455,8.72727,8.18182,8.90909
650,EAX,0,1,0.352,12,0.0322581,0.346774,0.216,0.352,8,14.7273,3.63636,11.8182
700,PMX,1,1,0.296,11.6364,0.208,0.232,0.344,0.328,7.27273,10.9091,8.36364,11.8182
750,LOX,1,1,0.072,1.09091,0.016,0.088,0.096,0.168,0.181818,1.27273,2.72727,3.81818
800,EAX,0,0,0.328,8.90909,0.254098,0.0983607,0.408,0.408,14.3636,15.4545,12.3636,9.81818
850,GOX,0,1,0.408,12,0.336,0.248,0.384,0.416,11.0909,9.81818,10,11.8182
900,EAX,0,1,0.272,6.90909,0.0491803,0.254098,0.264,0.304,10.3636,14.9091,6.36364,7.09091
950,GOX,0,1,0.48,14,0.232,0.408,0.296,0.472,8.18182,12.3636,6.36364,13.4545
1000,GrPX,1,1,0.512,14.5455,0.34375,0.226562,0.376,0.368,8,8.36364,9.45455,13.2727
1050,OX,0,1,0.392,9.63636,0.136,0.32,0.24,0.456,5.27273,11.4545,6.18182,12.5455
