iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,AOX,0,1,0.520548,5.46154,0.226027,0.445205,0.431507,0.527397,2.46154,4.46154,3.76923,5.61538
50,AOX,0,1,0.184932,1.38462,0.0616438,0.150685,0.157534,0.246575,0.307692,1.23077,1.38462,2.30769
100,AOX,0,1,0.544828,5.15385,0.308219,0.349315,0.5,0.465753,3.30769,3.69231,4.38462,4.15385
150,AOX,0,0,0.479452,4.76923,0.0410959,0.465753,0.0890411,0.506849,0.384615,5,0.692308,4.84615
200,AOX,0,1,0.554795,5.23077,0.123288,0.520548,0.5,0.534247,0.769231,5.07692,4,4.38462
250,AOX,0,0,0.369863,3.07692,0.321918,0.116438,0.349315,0.219178,2.92308,0.769231,2.84615,1.46154
300,AOX,0,0,0.636986,5.61538,0.137931,0.634483,0.475862,0.482759,1.23077,5.61538,4.15385,4.61538
350,AOX,0,0,0.513699,5.46154,0.349315,0.308219,0.438356,0.30137,3.38462,3.07692,3.84615,3.38462
400,AOX,0,1,0.455172,4.23077,0.205479,0.349315,0.40411,0.342466,1.84615,3.07692,2.92308,2.92308
450,AOX,0,0,0.575342,4.76923,0.568493,0.130137,0.582192,0.315068,5,1.15385,4.84615,2.53846
500,AOX,0,0,0.496552,4.07692,0.431507,0.150685,0.479452,0.109589,3.61538,1.30769,4.07692,0.846154
550,AOX,0,0,0.434483,3.92308,0.157534,0.383562,0.280822,0.438356,1.69231,3.46154,2.53846,3.84615
600,AOX,0,0,0.496552,3.84615,0.503448,0.0137931,0.489655,0.0758621,3.84615,0.0769231,3.76923,0.384615
650,AOX,0,0,0.475862,4.30769,0.232877,0.294521,0.40411,0.267123,2.61538,2.46154,3.69231,1.92308
700,AOX,0,0,0.531034,4.53846,0.431507,0.184932,0.493151,0.493151,3.92308,1.61538,4.46154,3.53846
750,AOX,0,1,0.520548,3.84615,0.164384,0.458904,0.184932,0.465753,1.07692,3.61538,1.23077,3.69231
800,AOX,0,0,0.531034,4.38462,0.0958904,0.486301,0.117241,0.544828,0.538462,4.15385,0.692308,4.61538
850,AOX,1,1,0.534247,4.15385,0.226027,0.424658,0.267123,0.582192,2.46154,3.61538,2.38462,4.84615
900,AOX,0,0,0.5,4.23077,0.30137,0.294521,0.489655,0.358621,2.92308,2.15385,4.07692,2.15385
950,AOX,1,1,0.465753,3.61538,0.123288,0.383562,0.239726,0.465753,1.07692,3.15385,1.92308,3.69231
1000,AOX,0,0,0.465753,3.30769,0.150685,0.390411,0.241379,0.455172,1.46154,2.46154,2.07692,3.15385
