iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,LOX,0,1,0.616438,5.76923,0.273973,0.458904,0.493151,0.534247,2.38462,4.61538,4.15385,5.53846
50,LOX,0,1,0.636986,5.69231,0.294521,0.39726,0.342466,0.479452,2.23077,4.07692,2.84615,4.38462
100,LOX,0,1,0.482759,4.15385,0.219178,0.342466,0.39726,0.321918,2,3.15385,2.92308,3.23077
150,LOX,0,0,0.5,4.07692,0.458904,0.150685,0.510345,0.227586,3.69231,1.07692,4.15385,1.69231
200,LOX,0,1,0.589041,5,0.547945,0.150685,0.59589,0.445205,4.69231,1.38462,4.69231,3.23077
250,LOX,0,1,0.486301,3.76923,0.438356,0.109589,0.452055,0.178082,3.53846,0.769231,3.30769,1.23077
300,LOX,0,1,0.527397,4.92308,0.10274,0.458904,0.0547945,0.527397,0.923077,4.30769,0.307692,4.84615
350,LOX,0,0,0.455172,4.30769,0.253425,0.253425,0.376712,0.40411,2.23077,2.38462,3.07692,3.76923
400,LOX,0,0,0.524138,4.53846,0.438356,0.184932,0.486301,0.376712,3.38462,1.61538,3.76923,2.84615
450,LOX,0,0,0.510345,4.61538,0.489655,0.0689655,0.524138,0.0827586,4.46154,0.538462,4.23077,0.615385
500,LOX,1,1,0.59589,5,0.0205479,0.582192,0,0.59589,0.153846,5,0,5
550,LOX,0,0,0.503448,4.23077,0.510345,0.0344828,0.503448,0,4.15385,0.153846,4.23077,0
600,LOX,0,0,0.589041,5.61538,0.158621,0.496552,0.172414,0.565517,1.23077,4.76923,1.38462,5.30769
650,LOX,0,0,0.517241,4.76923,0.17931,0.393103,0.144828,0.475862,1.53846,3.84615,1.30769,4.53846
700,LOX,0,0,0.496552,4.53846,0.328767,0.328767,0.406897,0.365517,3.46154,2.92308,3.76923,3.69231
750,LOX,1,1,0.503448,4.07692,0.5,0,0.5,0,4.07692,0,4.07692,0
800,LOX,0,0,0.438356,3.46154,0.280822,0.260274,0.37931,0.324138,2.07692,2.23077,3.46154,3.07692
850,LOX,0,0,0.630137,4.84615,0.42069,0.344828,0.503448,0.468966,3.15385,3.15385,4.07692,4.07692
900,LOX,0,0,0.613793,5.30769,0.531034,0.131034,0.606897,0.248276,4.84615,0.692308,5.69231,1.92308
950,LOX,0,0,0.565517,4.61538,0.324138,0.344828,0.4,0.413793,2.30769,3.07692,3,3.61538
1000,LOX,0,0,0.486301,3.69231,0.413793,0.151724,0.503448,0.227586,3.07692,1.15385,3.84615,2.38462
1050,LOX,0,0,0.42069,3.69231,0.0482759,0.393103,0.0758621,0.406897,0.615385,3.38462,0.615385,3.38462
1100,LOX,0,1,0.472603,4.23077,0.383562,0.164384,0.410959,0.246575,3.38462,1.23077,3.38462,1.84615
1150,LOX,0,0,0.513699,4.69231,0.2,0.37931,0.289655,0.510345,1.46154,3.69231,1.69231,4.53846
1200,LOX,0,1,0.547945,5.07692,0.130137,0.506849,0.0616438,0.561644,1.07692,4.69231,0.307692,5.07692
1250,LOX,0,0,0.57931,4.69231,0.255172,0.393103,0.248276,0.524138,2,3.30769,2.15385,3.92308
1300,LOX,0,1,0.462069,4.30769,0.410959,0.123288,0.349315,0.287671,3.92308,1.30769,3.38462,2.46154
1350,LOX,0,0,0.303448,2.07692,0.241379,0.110345,0.262069,0.22069,1.61538,0.615385,2.07692,1.23077
1400,LOX,0,1,0.363014,3.07692,0.0410959,0.349315,0.109589,0.356164,0.461538,2.69231,0.923077,3.30769
1450,LOX,0,0,0.363014,3.07692,0.317241,0.124138,0.354167,0.229167,3.38462,1.38462,3.23077,2.30769
1500,LOX,0,0,0.547945,5.23077,0.417808,0.253425,0.489655,0.475862,3.53846,2.76923,4.46154,3.61538
1550,LOX,0,0,0.524138,4.69231,0.321918,0.280822,0.448276,0.262069,2.30769,3.07692,3.46154,2.07692
1600,LOX,0,0,0.60274,5.07692,0.445205,0.232877,0.586207,0.358621,3.53846,2.30769,4.76923,3
1650,LOX,0,0,0.448276,3.46154,0.294521,0.205479,0.386207,0.255172,2.23077,1.46154,3.23077,2.15385
1700,LOX,0,1,0.506849,4.92308,0.534247,0.0547945,0.534247,0.191781,5.07692,0.538462,5,2
1750,LOX,0,1,0.406897,3,0.335616,0.143836,0.376712,0.143836,2.76923,1,3.23077,0.769231
1800,LOX,0,0,0.534247,4.23077,0.524138,0.0827586,0.544828,0.151724,4.38462,0.538462,4.38462,1.07692
1850,LOX,1,0,0.452055,4.76923,0.465753,0.0205479,0.393103,0.213793,4.92308,0.153846,3.69231,2.69231
1900,LOX,0,0,0.534247,5,0.376712,0.19863,0.482759,0.275862,3.46154,1.76923,4.07692,2.38462
1950,LOX,1,1,0.544828,4.46154,0.520548,0.0958904,0.582192,0.342466,4.23077,0.846154,4.53846,2.46154
2000,LOX,0,0,0.448276,4.69231,0.062069,0.448276,0.117241,0.462069,0.692308,4.61538,0.923077,4.76923
2050,LOX,0,1,0.4,3.38462,0.342466,0.109589,0.39726,0.0890411,2.92308,1,3.23077,0.615385
2100,LOX,0,1,0.424658,3.53846,0.246575,0.239726,0.376712,0.315068,2.23077,2.07692,3.07692,2.61538
2150,LOX,0,0,0.445205,3.92308,0.268966,0.248276,0.262069,0.282759,2.46154,2.07692,2.46154,2.30769
2200,LOX,0,0,0.472603,3.53846,0.267123,0.30137,0.324138,0.365517,2.07692,2.53846,2.53846,2.69231
2250,LOX,0,0,0.493151,4.46154,0.465753,0.157534,0.503448,0.317241,3.92308,1.38462,4.61538,2.53846
2300,LOX,0,0,0.434483,4,0.303448,0.248276,0.393103,0.262069,3,2.38462,3.69231,2.30769
2350,LOX,0,1,0.246575,2,0.178082,0.10274,0.178082,0.150685,1.46154,0.615385,1.53846,0.923077
2400,LOX,0,0,0.513699,4.30769,0.287671,0.328767,0.496552,0.372414,2.53846,3.53846,3.69231,3.38462
2450,LOX,1,0,0.465753,4.30769,0.40411,0.130137,0.475862,0.268966,3.76923,0.769231,4.46154,1.61538
2500,LOX,0,0,0.586207,4.15385,0.479452,0.205479,0.541096,0.363014,3.38462,1.61538,3.92308,2.30769
2550,LOX,0,0,0.434483,3.53846,0.227586,0.262069,0.344828,0.386207,1.61538,2.76923,2.30769,3.23077
2600,LOX,0,0,0.37931,3.84615,0.303448,0.172414,0.337931,0.227586,3.61538,1.69231,3.07692,1.92308
2650,LOX,0,0,0.42069,3.61538,0.321918,0.212329,0.365517,0.37931,3.38462,2.23077,3.15385,3.38462
2700,LOX,0,1,0.438356,4,0.410959,0.0821918,0.417808,0.0410959,3.76923,0.692308,3.69231,0.384615
2750,LOX,0,1,0.376712,3.30769,0.178082,0.273973,0.0547945,0.383562,1.61538,2.15385,0.230769,3.15385
2800,LOX,0,1,0.630137,5.69231,0.568493,0.123288,0.623288,0.123288,5.07692,1.23077,5.53846,0.923077
2850,LOX,0,0,0.496552,5,0.124138,0.42069,0.22069,0.489655,1.46154,4.15385,1.92308,4.61538
2900,LOX,0,0,0.331034,3.15385,0.165517,0.296552,0.158621,0.310345,1.23077,2.84615,1.61538,2.46154
2950,LOX,0,0,0.287671,2.23077,0.275862,0.0413793,0.344828,0.110345,2,0.461538,2.46154,0.615385
3000,LOX,1,1,0.0547945,0.384615,0.0410959,0.0136986,0.0410959,0.0136986,0.307692,0.0769231,0.307692,0.0769231
3050,LOX,1,0,0.582192,4.69231,0.191781,0.452055,0.22069,0.558621,1.76923,3.69231,1.61538,4.23077
3100,LOX,0,0,0.593103,4.84615,0.158621,0.531034,0.206897,0.634483,1.38462,4.30769,1.53846,5.15385
3150,LOX,0,1,0.260274,3.07692,0.219178,0.171233,0.280822,0.253425,2.53846,2.15385,2.76923,2.23077
3200,LOX,0,0,0.496552,5.15385,0.458904,0.116438,0.544828,0.227586,4.76923,1.07692,4.61538,1.69231
3250,LOX,0,0,0.308219,3.15385,0.131034,0.22069,0.22069,0.213793,1,2.76923,1.53846,2.61538
3300,LOX,0,0,0.317241,3,0.234483,0.0965517,0.248276,0.144828,2.23077,1,2.07692,1.23077
3350,LOX,0,0,0.510345,3.92308,0.386207,0.186207,0.441379,0.406897,2.84615,1.84615,3.23077,3.07692
3400,LOX,0,0,0.489655,4.53846,0.331034,0.248276,0.337931,0.262069,3,2.38462,3.15385,2.61538
3450,LOX,0,0,0.541096,4.92308,0.178082,0.417808,0.164384,0.438356,1.61538,3.76923,1.46154,3.84615
3500,LOX,0,0,0.344828,2.92308,0.213793,0.213793,0.213793,0.337931,1.69231,1.92308,1.61538,2.61538
3550,LOX,1,1,0.42069,3.69231,0.431507,0.0136986,0.417808,0,3.84615,0.153846,3.69231,0
3600,LOX,0,0,0.372414,3.38462,0.0413793,0.37931,0.0344828,0.37931,0.384615,3.23077,0.307692,3.46154
3650,LOX,0,0,0.363014,3.53846,0.386207,0.0482759,0.393103,0.144828,3.84615,0.692308,3.61538,0.846154
3700,LOX,1,1,0.390411,3.76923,0.363014,0.0479452,0.349315,0.0410959,3.53846,0.384615,3.46154,0.307692
3750,LOX,0,0,0.337931,2.92308,0.0753425,0.287671,0.103448,0.331034,0.538462,2.53846,0.461538,2.84615
3800,LOX,0,0,0.342466,3.53846,0.241379,0.158621,0.324138,0.234483,2.76923,1.53846,3.46154,1.53846
3850,LOX,0,1,0.178082,1.15385,0.0753425,0.150685,0.0958904,0.130137,0.538462,1,0.692308,1
3900,LOX,1,1,0.321918,2.92308,0.0753425,0.273973,0.0547945,0.328767,0.692308,2.46154,0.615385,2.92308
3950,LOX,0,0,0.565517,5.07692,0.0689655,0.537931,0.193103,0.57931,0.384615,5,1.23077,4.84615
4000,LOX,0,1,0.465753,5.15385,0.335616,0.267123,0.369863,0.287671,3.38462,2.46154,4.38462,2
4050,LOX,0,1,0.506849,4.30769,0.349315,0.239726,0.356164,0.19863,3.15385,1.61538,3.15385,1.61538
4100,LOX,0,0,0.349315,3.53846,0.246575,0.143836,0.308219,0.212329,2.53846,1.38462,3.15385,1.84615
4150,LOX,0,0,0.310345,2.38462,0.241379,0.0896552,0.255172,0.137931,2.07692,0.538462,2,0.846154
4200,LOX,0,0,0.317241,2.07692,0.287671,0.136986,0.289655,0.165517,1.84615,1,1.84615,1.15385
4250,LOX,1,1,0.537931,4.92308,0.5,0.0479452,0.534247,0,4.92308,0.307692,4.92308,0
4300,LOX,0,0,0.40411,3.92308,0.431507,0.0958904,0.424658,0.0958904,4.07692,0.538462,3.92308,0.461538
4350,LOX,0,0,0.465753,4,0.239726,0.363014,0.308219,0.445205,2.38462,3,2.84615,3.61538
4400,LOX,0,0,0.282759,2.15385,0.2,0.186207,0.234483,0.234483,1.30769,1.61538,1.23077,2
4450,LOX,0,0,0.303448,2.15385,0.303448,0.0206897,0.317241,0.0551724,2.30769,0.230769,2.30769,0.384615
4500,LOX,0,0,0.448276,4.30769,0.246575,0.294521,0.303448,0.296552,2.30769,2.76923,2.84615,3
4550,LOX,0,0,0.275862,2.38462,0.267123,0.0410959,0.303448,0.062069,2.23077,0.384615,2.46154,0.615385
4600,LOX,0,0,0.558621,4.53846,0.541096,0.0753425,0.534247,0.123288,4.61538,0.769231,4.23077,0.846154
4650,LOX,0,0,0.342466,2.46154,0.351724,0.0344828,0.358621,0.103448,2.53846,0.153846,2.84615,0.769231
4700,LOX,0,0,0.158621,1.07692,0.0479452,0.136986,0.062069,0.172414,0.384615,0.923077,0.384615,1.15385
4750,LOX,0,0,0.410959,4,0.406897,0.062069,0.448276,0.0896552,4,0.307692,4.30769,0.538462
4800,LOX,0,0,0.144828,0.769231,0.131034,0.0551724,0.144828,0.165517,0.769231,0.307692,1.30769,1.53846
4850,LOX,0,0,0.513699,4.92308,0.212329,0.328767,0.246575,0.40411,2.30769,2.76923,2.38462,3.38462
4900,LOX,0,0,0.328767,2.46154,0.150685,0.219178,0.143836,0.246575,1.30769,1.53846,1.23077,1.84615
4950,LOX,0,0,0.393103,3.76923,0.324138,0.103448,0.351724,0.158621,3.30769,0.923077,3.53846,1.15385
5000,LOX,0,0,0.344828,2.84615,0.172414,0.248276,0.137931,0.296552,1.30769,2.46154,1.07692,2.46154
5050,LOX,0,0,0.248276,2.15385,0.206897,0.0689655,0.227586,0.0758621,1.61538,0.846154,1.69231,0.769231
5100,LOX,1,1,0.219178,1.53846,0.10274,0.157534,0.0753425,0.164384,0.538462,1.15385,0.538462,1.38462
5150,LOX,0,0,0.493151,4.46154,0.462069,0.137931,0.517241,0.213793,4.15385,1.38462,4.46154,2
5200,LOX,0,0,0.441379,4.23077,0.234483,0.268966,0.262069,0.324138,2.07692,2.53846,2.07692,3.07692
5250,LOX,0,0,0.513699,4,0.289655,0.296552,0.4,0.213793,2.15385,2.69231,2.69231,2.07692
5300,LOX,1,1,0.205479,1.92308,0.219178,0.0136986,0.205479,0,2.07692,0.153846,1.92308,0
5350,LOX,0,0,0.37931,3.07692,0.328767,0.136986,0.331034,0.2,2.46154,1,2.69231,1.53846
5400,LOX,1,1,0.328767,3,0.328767,0,0.328767,0,3,0,3,0
5450,LOX,0,0,0.406897,3.30769,0.4,0.0275862,0.42069,0.151724,3.23077,0.384615,3.76923,0.923077
5500,LOX,0,0,0.40411,3.84615,0.406897,0.0827586,0.42069,0.17931,3.46154,0.615385,3.69231,1.53846
5550,LOX,1,1,0.356164,3.38462,0.0616438,0.308219,0.0410959,0.321918,0.615385,3,0.461538,3.07692
5600,LOX,0,0,0.227586,1.15385,0,0.227586,0,0.227586,0,1.15385,0,1.15385
5650,LOX,0,0,0.171233,1.38462,0.117241,0.131034,0.2,0.17931,0.923077,1.30769,1.23077,1.15385
5700,LOX,0,0,0.427586,4.23077,0.386207,0.124138,0.386207,0.2,3.76923,0.923077,3.69231,1.53846
5750,LOX,0,0,0.363014,3.76923,0.0821918,0.356164,0.124138,0.434483,0.615385,3.38462,1,4.46154
5800,LOX,0,1,0.424658,4.07692,0.184932,0.335616,0.171233,0.445205,1.46154,3.15385,0.846154,4
5850,LOX,0,0,0.287671,2.23077,0.172414,0.255172,0.165517,0.255172,1.07692,2.07692,1,2.46154
5900,LOX,0,0,0.4,3.69231,0.193103,0.268966,0.172414,0.331034,2,2,1.92308,2.53846
5950,LOX,0,0,0.534247,4.76923,0.37931,0.241379,0.358621,0.317241,3.69231,1.92308,3.38462,2.30769
6000,LOX,0,0,0.448276,4.15385,0.315068,0.191781,0.386207,0.275862,3,2,3.61538,2.38462
6050,LOX,0,1,0.465753,4.61538,0.0684932,0.486301,0,0.465753,0.538462,5,0,4.61538
6100,LOX,0,0,0.328767,2.76923,0.342466,0.10274,0.37931,0.137931,2.76923,1,2.76923,1
6150,LOX,0,0,0,0,0,0,0,0,0,0,0,0
6200,LOX,0,0,0.39726,3.46154,0.136986,0.30137,0.248276,0.42069,0.923077,2.76923,2.30769,4.15385
6250,LOX,0,0,0.232877,2.07692,0.123288,0.205479,0.193103,0.268966,1.38462,1.30769,1.76923,2
6300,LOX,0,0,0.431507,3.76923,0.262069,0.262069,0.351724,0.234483,2.53846,2.38462,2.38462,2.38462
6350,LOX,0,0,0.310345,2.84615,0.317241,0.0344828,0.310345,0,2.69231,0.307692,2.84615,0
6400,LOX,0,0,0.438356,4.46154,0.321918,0.191781,0.417808,0.363014,3.61538,1.46154,3.92308,2.84615
6450,LOX,0,0,0.165517,1,0.0965517,0.0896552,0.0965517,0.0758621,0.538462,0.692308,0.538462,0.538462
6500,LOX,1,1,0.158621,1,0.0958904,0.109589,0.109589,0.0684932,0.692308,0.692308,0.692308,0.461538
6550,LOX,0,1,0.40411,3.69231,0.383562,0.0616438,0.390411,0.0479452,3.38462,0.461538,3.69231,0.230769
6600,LOX,0,1,0.40411,3.61538,0.239726,0.191781,0.321918,0.294521,2.38462,1.53846,3.07692,2.23077
6650,LOX,0,0,0.37931,3.84615,0.275862,0.193103,0.227586,0.255172,2.61538,2.07692,2.84615,2.53846
6700,LOX,0,1,0.441379,4.76923,0.445205,0.0821918,0.438356,0.0753425,4.76923,0.692308,4.61538,0.384615
6750,LOX,0,0,0.363014,3.53846,0.280822,0.178082,0.308219,0.226027,3,1.46154,3.07692,1.38462
6800,LOX,0,0,0.365517,3.15385,0.386207,0.062069,0.351724,0.062069,3.38462,0.538462,3.07692,0.384615
6850,LOX,0,0,0.434483,4.07692,0.241379,0.227586,0.262069,0.296552,2.46154,2.07692,2.69231,2
6900,LOX,0,1,0.482759,4.46154,0.19863,0.363014,0.253425,0.363014,1.84615,3.69231,1.76923,3.76923
6950,LOX,0,0,0.109589,0.538462,0.0896552,0.0551724,0.103448,0.0413793,0.461538,0.307692,0.692308,0.384615
7000,LOX,0,0,0.321918,2.84615,0.241379,0.2,0.427586,0.317241,2.38462,1.92308,3.53846,2.76923
7050,LOX,0,0,0.424658,4.07692,0.434483,0.103448,0.462069,0.165517,3.92308,0.923077,4.30769,0.923077
7100,LOX,0,0,0.452055,3.69231,0.37931,0.17931,0.351724,0.289655,3.38462,1.46154,3.15385,2.07692
7150,LOX,0,0,0.406897,3.92308,0.22069,0.268966,0.282759,0.234483,2.38462,2.30769,2.38462,2.84615
7200,LOX,0,0,0.351724,3.23077,0.191781,0.246575,0.303448,0.241379,2,1.92308,2.84615,2.23077
7250,LOX,0,0,0.503448,4.23077,0.287671,0.308219,0.365517,0.358621,2.30769,2.84615,2.84615,3
7300,LOX,0,0,0.472603,3.92308,0.372414,0.193103,0.468966,0.310345,3.30769,1.92308,3.38462,2.76923
7350,LOX,0,0,0.335616,3.46154,0.144828,0.268966,0.172414,0.351724,1.46154,2.61538,1.53846,3.23077
7400,LOX,0,0,0.358621,3.53846,0.296552,0.2,0.358621,0.193103,2.69231,1.61538,3.15385,1.53846
7450,LOX,0,0,0.40411,3.38462,0.191781,0.267123,0.296552,0.337931,2,2.23077,2.38462,2.23077
7500,LOX,0,0,0.248276,1.92308,0.0344828,0.227586,0.0896552,0.234483,0.538462,2.07692,0.692308,1.84615
7550,LOX,0,0,0.328767,2.46154,0.0827586,0.303448,0.255172,0.337931,0.615385,2.46154,1.84615,2.84615
7600,LOX,0,0,0.337931,3.07692,0.157534,0.246575,0.351724,0.282759,1.23077,2.30769,2.46154,1.84615
7650,LOX,0,1,0.363014,3.30769,0.136986,0.280822,0.184932,0.294521,1.07692,2.61538,1.30769,2.61538
7700,LOX,1,1,0.40411,3.92308,0,0.40411,0,0.40411,0,3.92308,0,3.92308
7750,LOX,0,0,0.434483,4.23077,0.376712,0.116438,0.406897,0.186207,3.46154,1.15385,3.69231,1.23077
7800,LOX,1,1,0.356164,3.69231,0.0342466,0.376712,0,0.356164,0.230769,3.84615,0,3.69231
7850,LOX,0,0,0.191781,1.15385,0.151724,0.0827586,0.186207,0.0758621,0.846154,0.538462,1.15385,0.538462
7900,LOX,0,0,0.335616,3.53846,0.165517,0.268966,0.268966,0.406897,1.69231,2.84615,2.38462,3.84615
7950,LOX,0,0,0.310345,3.30769,0.248276,0.151724,0.255172,0.151724,2.76923,1.53846,2.53846,1.76923
8000,LOX,0,0,0.363014,2.07692,0.227586,0.2,0.227586,0.151724,1.38462,1.15385,1.46154,1.07692
8050,LOX,1,1,0.342466,2.76923,0.342466,0.0342466,0.342466,0,2.84615,0.307692,2.76923,0
8100,LOX,0,0,0.390411,3.30769,0.260274,0.212329,0.310345,0.282759,2.07692,2.07692,2.53846,2.23077
8150,LOX,0,0,0.496552,4.23077,0.369863,0.191781,0.42069,0.344828,3.69231,1.69231,3.53846,2.38462
8200,LOX,0,0,0.427586,4.15385,0.337931,0.172414,0.386207,0.262069,2.92308,2.07692,3.30769,2.30769
8250,LOX,0,1,0.417808,3.53846,0.356164,0.164384,0.383562,0.191781,2.84615,1.07692,2.92308,1.38462
8300,LOX,0,0,0.39726,3.69231,0.287671,0.226027,0.441379,0.275862,2.69231,2.07692,4.30769,2.23077
