iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,UOX,1,1,0.469799,10.25,0.624161,0.711409,0.412162,0.47973,7.75,10.625,8.25,10
50,UOX,0,1,0.432432,7.625,0.655405,0.648649,0.337838,0.425676,7.875,8.375,6.125,7.75
100,UOX,0,1,0.398649,10.75,0.594595,0.628378,0.364865,0.412162,7.125,9.125,7.125,9.625
150,UOX,0,1,0.418919,9.5,0.621622,0.702703,0.439189,0.439189,7.5,9.25,8,10.625
200,UOX,0,1,0.466216,10.375,0.655405,0.695946,0.486486,0.52027,8.625,8,10.125,9
250,UOX,0,1,0.371622,9.125,0.675676,0.702703,0.466216,0.310811,8.125,7.625,9.125,5.875
300,UOX,0,1,0.398649,7.5,0.621622,0.641892,0.290541,0.378378,7.375,8.625,5.5,6.375
350,UOX,0,1,0.398649,7.5,0.648649,0.655405,0.351351,0.216216,7.125,8.25,5,5.625
400,UOX,0,1,0.439189,8.375,0.601351,0.662162,0.337838,0.317568,7.25,9.625,5.5,5.25
450,UOX,0,1,0.452703,8.75,0.587838,0.668919,0.358108,0.391892,7,8.25,6.5,6.5
500,UOX,1,1,0.290541,5.625,0.459459,0.5,0.277027,0.337838,6.25,7.25,5.875,5.125
550,UOX,0,1,0.459459,8.75,0.594595,0.662162,0.418919,0.412162,7.75,9.375,9.25,8.125
600,UOX,0,1,0.277027,5,0.540541,0.655405,0.364865,0.236486,6.25,7.5,6,3.75
650,UOX,0,0,0.141892,2.125,0.554054,0.608108,0.182432,0.263514,5.5,6.5,3,4.125
700,UOX,0,0,0.425676,9.625,0.52027,0.655405,0.317568,0.425676,6.25,7.625,6.25,8
750,UOX,0,0,0.364865,7.25,0.533784,0.614865,0.304054,0.290541,6.625,7.75,5,4.625
800,UOX,0,0,0.432432,9.5,0.628378,0.641892,0.243243,0.398649,8.125,8.5,3.625,9.25
850,UOX,0,1,0.378378,6.25,0.466216,0.527027,0.162162,0.364865,5.125,7.375,3.25,5.625
900,UOX,0,1,0.168919,2.25,0.222973,0.277027,0.155405,0.202703,2.875,3.125,2.625,3.375
950,UOX,0,0,0.263514,5.875,0.452703,0.513514,0.236486,0.358108,5.125,6.75,4,6.75
1000,UOX,0,0,0.405405,8,0.527027,0.527027,0.344595,0.324324,7.125,7.375,8.75,5.125
1050,UOX,0,0,0.418919,7.875,0.527027,0.608108,0.283784,0.439189,7,7.125,4.5,8.5
1100,UOX,0,0,0.297297,5.625,0.547297,0.601351,0.290541,0.263514,5.875,6.875,4.75,4.25
1150,UOX,0,1,0.189189,3,0.391892,0.418919,0.148649,0.168919,4.875,5.125,2.25,2.375
1200,UOX,0,0,0.52027,8.625,0.47973,0.695946,0.378378,0.47973,5.625,8.625,4.5,8.375
1250,UOX,0,1,0.324324,5,0.574324,0.594595,0.283784,0.310811,6.625,6.625,4.5,4.375
1300,UOX,0,0,0.277027,6.25,0.493243,0.554054,0.22973,0.25,6.75,7.375,4,4.625
1350,UOX,0,0,0.378378,9.375,0.533784,0.641892,0.391892,0.283784,7.375,8.375,9.125,5
1400,UOX,0,0,0.362416,8.75,0.604027,0.644295,0.337838,0.385135,8.25,7.75,7.75,7.625
1450,UOX,0,0,0.391892,7.5,0.601351,0.668919,0.412162,0.385135,7.75,9,10,10.25
1500,UOX,0,0,0.317568,4.625,0.506757,0.567568,0.263514,0.216216,6,6.375,4.375,3.625
1550,UOX,0,1,0.425676,7.25,0.493243,0.614865,0.391892,0.385135,6.25,6.875,6.875,6.375
1600,UOX,0,0,0.189189,2.875,0.513514,0.506757,0.22973,0.168919,5.625,5.375,3,2.75
1650,UOX,0,0,0.27027,5.625,0.5,0.527027,0.324324,0.243243,6.625,6,5,4.5
1700,UOX,0,0,0.418919,8.375,0.621622,0.655405,0.378378,0.331081,8,7.375,6.625,5.75
1750,UOX,0,0,0.256757,4.375,0.439189,0.540541,0.202703,0.290541,5.625,8,2.5,4.125
1800,UOX,0,1,0.331081,4.75,0.459459,0.506757,0.216216,0.236486,5.625,6.375,4.25,3.375
1850,UOX,0,0,0.371622,9.375,0.452703,0.614865,0.256757,0.378378,5.625,9.875,4.25,9.75
1900,UOX,0,0,0.378378,7.875,0.52027,0.533784,0.310811,0.412162,7.125,8,6.625,5.5
1950,UOX,0,1,0.371622,8.875,0.635135,0.668919,0.304054,0.425676,8.375,9.75,9.25,9.5
2000,UOX,0,0,0.317568,7.375,0.682432,0.648649,0.391892,0.391892,10.125,8.875,8.5,8.625
2050,UOX,0,0,0.25,3,0.466216,0.506757,0.221477,0.221477,5.125,5.625,3.5,3.75
2100,UOX,0,1,0.216216,4.75,0.472973,0.52027,0.209459,0.168919,5.625,6.125,4.375,3.5
2150,UOX,0,0,0.439189,8,0.662162,0.709459,0.398649,0.425676,8.625,9.75,10.5,10.625
2200,UOX,0,0,0.256757,4.5,0.574324,0.587838,0.148649,0.22973,6.25,6.625,2.875,3.375
2250,UOX,0,0,0.351351,4.625,0.601351,0.668919,0.236486,0.277027,6.625,6.75,4,4.375
2300,UOX,1,1,0,0,0,0,0,0,0,0,0,0
2350,UOX,0,0,0.290541,5.375,0.466216,0.5,0.364865,0.256757,6.75,6.625,6.125,3.875
2400,UOX,0,0,0.209459,3.25,0.5,0.47973,0.148649,0.0608108,5.875,6.125,2.75,0.5
2450,UOX,0,1,0.175676,2.875,0.378378,0.385135,0.0337838,0.175676,4.75,5,0.5,3.25
2500,UOX,0,0,0.114865,2.375,0.398649,0.412162,0.168919,0.168919,4.125,4.25,3.875,2.25
2550,UOX,0,1,0.358108,8.625,0.533784,0.581081,0.310811,0.385135,6.625,7.25,8,6.75
2600,UOX,0,0,0.371622,9.625,0.614865,0.662162,0.405405,0.378378,8.75,7.75,9,7.875
2650,UOX,0,1,0.398649,9.375,0.581081,0.614865,0.533784,0.391892,6.625,8.5,7.125,7.75
2700,UOX,0,0,0.358108,9.375,0.472973,0.621622,0.310811,0.439189,5.75,10,4.125,9
2750,UOX,0,0,0.391892,7.75,0.581081,0.628378,0.337838,0.310811,6.75,8.5,6.375,4.625
2800,UOX,0,1,0.418919,9.5,0.628378,0.648649,0.405405,0.418919,8.25,8.375,8.625,10
2850,UOX,0,0,0.263514,4,0.425676,0.47973,0.344595,0.304054,5.375,6.375,5.5,6
2900,UOX,0,0,0.168919,2.75,0.472973,0.493243,0.0810811,0.148649,5.25,5.625,0.875,2.75
2950,UOX,0,0,0.385135,6.625,0.425676,0.560811,0.216216,0.337838,5.625,7.875,2.75,6.25
3000,UOX,0,1,0.310811,5.75,0.540541,0.554054,0.310811,0.297297,6.75,6.375,5.25,5.375
3050,UOX,0,0,0.277027,5.625,0.567568,0.554054,0.310811,0.310811,6.875,7.5,4.75,4.875
3100,UOX,0,0,0.263514,3.875,0.472973,0.466216,0.283784,0.195946,5.375,5.5,5.25,3.375
3150,UOX,0,0,0.364865,8.375,0.560811,0.628378,0.25,0.364865,8,7.625,4.375,7.625
3200,UOX,0,0,0.25,3.375,0.432432,0.425676,0.216216,0.195946,4.75,5.25,3.25,2.625
3250,UOX,0,1,0.168919,3.25,0.506757,0.560811,0.281879,0.268456,5.875,6.875,6,5.25
3300,UOX,0,0,0.162162,2.125,0.466216,0.540541,0.256757,0.168919,6,5.875,3.75,2.5
3350,UOX,0,0,0.378378,6.375,0.574324,0.608108,0.344595,0.317568,6.875,7.625,5.625,5.875
3400,UOX,0,0,0.304054,6.375,0.594595,0.641892,0.290541,0.331081,7,7,5.625,5.625
3450,UOX,0,0,0.324324,7.125,0.567568,0.675676,0.391892,0.418919,7.375,10.75,10.125,10.375
3500,UOX,0,0,0.290541,6.375,0.540541,0.554054,0.277027,0.310811,6.875,6.5,4.5,7.125
3550,UOX,0,0,0.277027,5.125,0.459459,0.506757,0.297297,0.297297,5.75,6.375,5.875,4.625
3600,UOX,0,0,0.295302,5,0.493243,0.540541,0.263514,0.290541,5.75,6.625,4,5.625
3650,UOX,0,0,0.405405,11.125,0.621622,0.668919,0.358108,0.385135,7.125,8.625,8.375,8.75
3700,UOX,0,0,0.297297,5.125,0.574324,0.675676,0.425676,0.385135,6.875,9.5,11,9.375
3750,UOX,0,0,0.195946,3.125,0.439189,0.493243,0.236486,0.22973,5.25,6.25,4,4.125
3800,UOX,0,1,0.189189,3.125,0.486486,0.52027,0.0675676,0.141892,5.125,5.75,0.75,2.5
3850,UOX,0,0,0.121622,2.125,0.310811,0.351351,0.0675676,0.114865,3.75,4.875,1.125,2.5
3900,UOX,0,1,0.22973,4,0.47973,0.445946,0.304054,0.0810811,6.75,5.375,6.125,2.75
3950,UOX,0,0,0.398649,6.75,0.567568,0.648649,0.295302,0.295302,6.875,8.125,5.125,5.75
4000,UOX,0,0,0.288591,6,0.510067,0.577181,0.236486,0.263514,7.25,6.625,5.875,4.5
4050,UOX,0,0,0.283784,5.625,0.554054,0.628378,0.277027,0.25,6.125,7.25,4.75,4
4100,UOX,0,0,0.236486,3.875,0.533784,0.567568,0.174497,0.261745,6.625,7,2.75,3.5
4150,UOX,0,0,0.108108,2.5,0.540541,0.547297,0.155405,0.22973,7,6.875,3.125,5.125
4200,UOX,0,0,0.418919,7.375,0.635135,0.614865,0.297297,0.243243,7.75,6.625,5.75,4.5
4250,UOX,0,1,0.324324,4.875,0.513514,0.574324,0.344595,0.195946,6,7.25,4.625,2.25
4300,UOX,0,0,0.391892,9.125,0.547297,0.662162,0.358108,0.405405,7.25,10.375,8.125,9.875
4350,UOX,0,1,0.389262,9,0.61745,0.684564,0.304054,0.425676,7.375,8.5,5.375,9.25
4400,UOX,0,0,0.371622,5.375,0.47973,0.608108,0.358108,0.337838,6.125,6.375,6.125,5
4450,UOX,0,0,0.432432,9.625,0.601351,0.641892,0.405405,0.310811,7.375,7.75,8.625,6.375
4500,UOX,0,0,0.222973,3,0.432432,0.506757,0.135135,0.222973,5.5,6,2,3.25
4550,UOX,0,0,0.342282,8.75,0.655405,0.662162,0.331081,0.351351,8.625,9,8.875,7.875
4600,UOX,0,0,0.297297,5.625,0.493243,0.513514,0.236486,0.324324,5.5,6.5,4.5,5.75
4650,UOX,0,0,0.302013,5.625,0.469799,0.496644,0.331081,0.182432,5.75,6.5,6.125,2.75
4700,UOX,0,1,0.22973,3.75,0.459459,0.527027,0.195946,0.101351,5.25,5.625,3.25,1.25
4750,UOX,0,1,0.324324,5.25,0.391892,0.459459,0.243243,0.216216,4.375,5.625,4.375,3.625
4800,UOX,0,0,0.290541,5.375,0.608108,0.608108,0.277027,0.344595,7.625,7.625,3.875,5.375
4850,UOX,0,0,0.371622,7.5,0.608108,0.628378,0.324324,0.331081,6.875,7.375,5.875,6.125
4900,UOX,0,0,0.331081,4.125,0.554054,0.648649,0.310811,0.324324,6.625,7.5,7.125,6.375
4950,UOX,0,0,0.236486,4.875,0.459459,0.506757,0.283784,0.216216,6,6,5.625,3.625
5000,UOX,0,1,0.175676,3.875,0.371622,0.405405,0.222973,0.283784,4.375,6,2.625,5.625
5050,UOX,0,0,0.201342,3.625,0.581081,0.581081,0.263514,0.27027,6.5,7.25,4,4
