iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,GrPX,1,1,0.489933,13.8333,0.278146,0.264901,0.422819,0.395973,6.5,8.33333,9.33333,11
50,GrPX,1,1,0.302013,10.8333,0.218543,0.119205,0.302013,0.194631,9.5,3.33333,10.5,3.5
100,GrPX,0,1,0.402685,14.8333,0.189542,0.27451,0.241611,0.463087,7.16667,11.3333,7,15.8333
150,GrPX,1,1,0.295302,8.16667,0.197368,0.171053,0.261745,0.342282,6.16667,5.5,9.16667,9.83333
200,GrPX,1,1,0.395973,12.3333,0.210526,0.25,0.194631,0.402685,6,7.66667,5,13
250,GrPX,1,1,0.375839,12.3333,0.217105,0.243421,0.38255,0.201342,5.66667,8.83333,10.8333,5
300,GrPX,0,0,0.322148,11.6667,0.223684,0.111842,0.315436,0.134228,8.16667,4.66667,9.16667,5.33333
350,GrPX,0,0,0.402685,13.1667,0.18543,0.251656,0.275168,0.275168,6.5,8.16667,7,11.1667
400,GrPX,0,1,0.422819,12.3333,0.225166,0.218543,0.275168,0.395973,6.5,7.16667,5,11.6667
450,GrPX,0,1,0.315436,6.66667,0.18543,0.152318,0.261745,0.248322,5.16667,1.83333,7,3.16667
500,GrPX,0,0,0.120805,3,0.0402685,0.0805369,0.0402685,0.0805369,0.666667,2.33333,0.666667,2.33333
550,GrPX,1,0,0.47651,11.6667,0.217105,0.309211,0.38255,0.328859,6.5,7,10.3333,7.5
600,GrPX,1,1,0.409396,12.6667,0.225166,0.225166,0.395973,0.208054,6.5,6,11.8333,4.83333
650,GrPX,0,1,0.422819,11.3333,0.18543,0.278146,0.214765,0.422819,5.16667,8.83333,4.33333,12.3333
700,GrPX,1,0,0.33557,6.83333,0.186667,0.18,0.255034,0.214765,4.5,2.83333,5.16667,3.66667
750,GrPX,0,0,0.147651,1.5,0.0927152,0.0860927,0.14094,0.0536913,1,1.16667,1.33333,0.666667
800,GrPX,0,0,0.0872483,0.833333,0.0397351,0.0794702,0.154362,0.0872483,0.5,0.666667,1.83333,1
850,GrPX,1,0,0.161074,2.5,0.105263,0.105263,0.181208,0.0268456,1.83333,2,2.66667,0.333333
900,GrPX,0,1,0.369128,10.3333,0.211921,0.205298,0.221477,0.342282,5.33333,6.5,6,9.16667
950,GrPX,0,0,0.114094,1.66667,0.0794702,0.0596026,0.0671141,0.134228,1.33333,1,1.66667,2.33333
1000,GrPX,0,0,0.38255,10.3333,0.203947,0.230263,0.295302,0.288591,6.33333,6,7,6.5
1050,GrPX,0,0,0.14094,1.33333,0.0986842,0.0657895,0.161074,0.161074,1.16667,0.833333,2.16667,2.16667
1100,GrPX,1,0,0.322148,6.5,0.230263,0.177632,0.348993,0.234899,4.33333,3.83333,9.33333,5.83333
1150,GrPX,0,0,0.134228,1.66667,0.0666667,0.0733333,0.0671141,0.107383,1,0.833333,0.833333,1.16667
1200,GrPX,0,1,0.167785,4.16667,0.0728477,0.125828,0.187919,0.181208,2.16667,3,4.33333,4.16667
1250,GrPX,1,1,0.127517,1.5,0.0794702,0.0728477,0.0536913,0.0805369,1,0.833333,0.666667,0.833333
1300,GrPX,1,0,0.0671141,0.833333,0.02,0.0666667,0.107383,0.107383,0.333333,0.833333,2,1.83333
1350,GrPX,1,1,0.167785,2.83333,0.0915033,0.124183,0.174497,0.120805,1.5,2.5,2.66667,1.66667
1400,GrPX,0,0,0.14094,1.66667,0.0728477,0.0860927,0.0738255,0.14094,1,1.16667,0.833333,1.5
1450,GrPX,0,0,0.127517,1.83333,0.0596026,0.0860927,0.0604027,0.0872483,0.833333,1.5,0.666667,1.16667
1500,GrPX,1,0,0.208054,3.5,0.143791,0.130719,0.194631,0.194631,2.33333,2.83333,2.66667,3.5
1550,GrPX,0,0,0.0671141,0.833333,0.0671141,0,0.0671141,0,0.833333,0,0.833333,0
1600,GrPX,0,0,0.0805369,0.833333,0.0331126,0.0529801,0.134228,0.100671,0.5,0.666667,2.16667,2
1650,GrPX,1,1,0.328859,7,0.194805,0.201299,0.315436,0.208054,4.33333,4.33333,8.5,3.5
1700,GrPX,0,0,0.100671,1.16667,0.0529801,0.0596026,0.0805369,0.114094,0.833333,0.666667,0.666667,1.33333
1750,GrPX,0,0,0.161074,2,0.0993377,0.0662252,0.134228,0.167785,1.33333,1,2.33333,2
1800,GrPX,1,0,0.302013,6.33333,0.151316,0.203947,0.201342,0.315436,2.83333,4.83333,3.16667,5.33333
1850,GrPX,1,1,0.0939597,1,0.0533333,0.0666667,0.0939597,0,0.5,0.666667,1,0
1900,GrPX,0,0,0.295302,6.33333,0.189542,0.130719,0.248322,0.268456,3.33333,4,3.66667,5.33333
