iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,EAX,0,1,0.554126,24.1154,0.0240964,0.556407,0.521459,0.532189,17.4231,30.1923,22.5385,23.0385
50,EAX,0,1,0.511803,22.2692,0.02407,0.510941,0.477468,0.501073,18.3846,29.2692,21.8077,22.1538
100,EAX,0,1,0.493562,22.6538,0.0230011,0.497262,0.466238,0.513398,16.6154,29.1154,21.5,23.0385
150,EAX,0,1,0.543991,23.5769,0.026287,0.538883,0.540773,0.522532,16.6923,29.1923,24.0769,23.6154
200,EAX,0,1,0.537554,21.8462,0.026287,0.533406,0.516094,0.486052,17.2692,28.5769,23.1923,22
250,EAX,0,1,0.526824,22.5385,0.0492881,0.501643,0.516094,0.526824,19.2308,28.7308,23,23.1154
300,EAX,0,1,0.531116,23.3846,0.0230011,0.529025,0.494635,0.523605,17.5769,29.7692,21.0385,23.1154
350,EAX,0,0,0.527897,23.4231,0.0240964,0.526835,0.501073,0.537554,17.5385,29.5,22.1154,22.7692
400,EAX,0,0,0.541845,23.9615,0.0284775,0.537788,0.484459,0.513398,19.5385,29.5769,21.7692,23.8846
450,EAX,0,1,0.504292,21.6923,0.026287,0.500548,0.516094,0.506438,16.6154,28.5,21.7692,23.1154
500,EAX,0,1,0.537554,23.2308,0.0251917,0.537788,0.497854,0.51073,17.5385,29.0769,23.7692,22.3077
550,EAX,0,1,0.51073,21.6923,0.0240964,0.50931,0.478541,0.490343,16.9231,28.8462,21.6923,21.5385
600,EAX,0,0,0.496781,21.6154,0.0273823,0.491785,0.497854,0.487124,17.3846,28.7692,22.8077,22.0769
650,EAX,0,1,0.486052,22.0385,0.0481928,0.465498,0.501608,0.536977,18.8462,29.5769,22.3077,23.4231
700,EAX,0,0,0,0,0,0,0,0,0,0,0,0
750,EAX,0,1,0.474249,19.6538,0.108434,0.385542,0.46731,0.512326,19.8462,28.2692,21.9615,22.1923
800,EAX,0,0,0.504292,22.3846,0.0240964,0.502738,0.507511,0.521459,17.2692,28.4231,22.7308,22.6154
850,EAX,0,0,0.512876,22.7308,0.0230011,0.513691,0.508584,0.517167,16.4615,29.3077,22.1154,22.2308
900,EAX,0,0,0.495708,22.9231,0.0219058,0.496166,0.51073,0.511803,16.3846,28.5385,22.5769,22.8846
950,EAX,0,0,0.496781,21.9231,0.0328587,0.488499,0.5,0.490343,16.5,28.4231,22.6923,22.7308
1000,EAX,0,0,0.524678,20.8462,0.0230011,0.525739,0.522532,0.513948,17.2692,28.9615,21.9615,22.5385
1050,EAX,0,0,0.541845,23.0385,0.0240964,0.539978,0.512326,0.506967,16.4615,29.2308,21.4231,22.3846
1100,EAX,0,0,0.524678,23.0385,0.0230011,0.524644,0.481243,0.50911,16.3462,28.9615,22.4615,22.6538
1150,EAX,0,0,0.511803,22.2692,0.0230011,0.511501,0.48927,0.51824,17.4231,28.5769,22.7308,22.3077
1200,EAX,0,0,0.520386,22.8077,0.0230011,0.519168,0.504292,0.543991,17.3846,29.5385,21.3462,23.3846
1250,EAX,0,0,0.517167,21.9615,0.0251917,0.515882,0.504292,0.525751,17.5,29.1154,21.1923,23.5385
1300,EAX,0,0,0.479614,21.7692,0.0230011,0.478642,0.444802,0.474812,17.3462,28.8077,17.9231,23.0769
1350,EAX,0,0,0.506438,21.6154,0.0251917,0.504929,0.452304,0.525188,17.3462,29.0769,20.8846,23.0769
1400,EAX,0,0,0.505365,21.6538,0.026287,0.506024,0.496781,0.487124,17.5385,28.8462,22.4231,22.8846
1450,EAX,0,1,0.509657,22.5385,0.0240964,0.511501,0.490343,0.502146,17.5,29.3846,21.2692,22.5769
1500,EAX,0,0,0.522532,21.9615,0.033954,0.513691,0.478028,0.500536,17.4231,28.2692,20.5,21.5
1550,EAX,0,0,0.495708,21.7692,0.0339168,0.483589,0.462446,0.48176,17.4615,28.5385,20.1538,22.4231
1600,EAX,0,0,0,0,0,0,0,0,0,0,0,0
1650,EAX,0,0,0.538627,22.5385,0.0230011,0.538883,0.474249,0.52897,16.4615,28.9615,21.2692,22.8462
1700,EAX,0,0,0.502146,21.3846,0.0230011,0.50931,0.45279,0.494635,17.4231,27.9615,20.6154,22.7692
1750,EAX,0,0,0.516094,23.1538,0.0273823,0.510405,0.494635,0.540773,18.2692,28.9615,22.3077,23.8462
1800,EAX,0,0,0.491416,21.5769,0.0251917,0.489595,0.475322,0.517167,16.3846,29.0769,19.8462,22.7692
1850,EAX,0,0,0.491416,21.4231,0.0317634,0.479737,0.496241,0.496241,19.0769,28.8077,21.9231,23.5769
1900,EAX,0,1,0.520386,23.1923,0.0251917,0.518072,0.469453,0.503751,16.4615,29.6154,21.0385,22.2308
1950,EAX,0,1,0.506438,21.9615,0.0284775,0.502738,0.4603,0.5,16.5769,28.2692,19.7692,22.2308
2000,EAX,0,0,0.512352,23.1923,0.0240964,0.510405,0.492489,0.494635,16.4231,29,20.8846,21.8846
