iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,EAX,0,0,0.582192,5.46154,0.0729927,0.591241,0.551724,0.544828,4.92308,7.69231,5.53846,5
50,EAX,0,0,0.582192,5.23077,0.57971,0.0869565,0.5625,0.611111,7.23077,4.23077,5.76923,5.69231
100,EAX,0,0,0.503448,4.23077,0.080292,0.50365,0.537931,0.537931,3.92308,6.15385,4.46154,5.53846
150,EAX,0,0,0.609589,5.30769,0.273381,0.431655,0.547945,0.589041,5.23077,6.69231,4.84615,5.38462
200,EAX,0,0,0.589041,5.69231,0.0729927,0.613139,0.593103,0.572414,3.92308,7.53846,5.07692,4.84615
250,EAX,0,0,0,0,0,0,0,0,0,0,0,0
300,EAX,0,0,0.558621,4.46154,0.474453,0.175182,0.544828,0.634483,6.15385,5.23077,4.69231,5
350,EAX,0,0,0.531034,4.61538,0.284672,0.328467,0.537931,0.565517,5.84615,6.61538,4.30769,4.84615
400,EAX,0,0,0.558621,5.23077,0.145985,0.50365,0.510345,0.627586,5.07692,7.69231,4.76923,5.84615
450,EAX,0,0,0.655172,5.76923,0.0729927,0.656934,0.623288,0.541096,4.46154,7.23077,5.69231,5.15385
500,EAX,0,0,0.582192,5.07692,0.248175,0.452555,0.572414,0.572414,5.53846,6.92308,5.69231,5.15385
550,EAX,0,0,0.513699,5.07692,0.100719,0.510791,0.613793,0.613793,4.76923,7.23077,5.61538,5.53846
600,EAX,0,0,0.6,6,0.576642,0.10219,0.586207,0.655172,7.23077,5,5.69231,5.76923
650,EAX,0,1,0.493151,4.15385,0.0729927,0.510949,0.486301,0.541096,4.53846,6.69231,4.61538,5.30769
700,EAX,0,0,0.636986,5.84615,0.29927,0.474453,0.544828,0.613793,5.92308,6.53846,4.30769,5.30769
