iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,PL,0,1,0.607862,24.4746,0.364334,0.46117,0.561841,0.600192,9.59322,21.8644,20.1695,23.4576
50,PL,0,1,0.566635,23.322,0.318313,0.441994,0.499521,0.561841,8.74576,20,17.0847,22.678
100,PL,0,0,0.624161,24.678,0.343241,0.50815,0.566635,0.58581,8.67797,21.4915,20.1695,22.7797
150,PL,0,1,0.607862,24.3729,0.355705,0.464046,0.524449,0.582934,9.55932,21.4576,19.0847,23.7288
200,PL,0,1,0.59348,23.4576,0.360499,0.46884,0.49185,0.551294,8.91525,18.9831,19.1186,22.5085
250,PL,0,1,0.605944,24.3051,0.355705,0.480345,0.506232,0.589645,8.91525,20.5763,19.2542,23.1864
300,PL,0,0,0,0,0,0,0,0,0,0,0,0
350,PL,0,0,0.621285,24,0.350288,0.476967,0.479386,0.603068,8.88136,20.9492,17.4915,23.8983
400,PL,0,1,0.599233,23.7627,0.357622,0.481304,0.556088,0.604986,8.77966,19.8644,20.8475,23.7627
450,PL,0,0,0.595398,21.9322,0.387344,0.440077,0.525407,0.610738,8.74576,18.2712,19.1525,22.9831
500,PL,0,1,0.601151,23.0847,0.342282,0.458293,0.474593,0.572387,8.40678,20.3729,17.8644,22.3051
550,PL,0,0,0.595398,24.1017,0.357622,0.479386,0.478428,0.560882,8.81356,21.0169,17.1186,22.8136
600,PL,0,0,0.600192,23.6271,0.338447,0.465964,0.465451,0.589251,8.30508,21.9661,15.9322,23.4237
650,PL,0,0,0.618408,23.9661,0.344199,0.46884,0.473634,0.602109,8.57627,21.0169,16.5763,22.8814
700,PL,0,0,0.595398,23.3898,0.338447,0.455417,0.476008,0.575816,8.77966,20.5763,16.8136,22.5424
750,PL,0,0,0.595398,23.3898,0.338447,0.455417,0.483221,0.577181,8.77966,20.5763,17.1864,21.8305
800,PL,0,0,0.550336,22.0339,0.309684,0.4372,0.492322,0.548944,7.35593,18.9831,17.3559,21.8644
850,PL,0,0,0.583893,23.2542,0.350911,0.441035,0.509597,0.555662,8.67797,19.5254,17.6271,21.0508
900,PL,0,1,0.579099,23.6949,0.303931,0.469799,0.467881,0.568552,7.79661,20.9153,16.7797,23.5932
950,PL,0,0,0.6238,23.9322,0.384837,0.449136,0.549377,0.579099,9.72881,20.0339,18.9492,23.2542
