iteration,crossover_type,feasible_before,feasible_after,dist_p1p2_edge,dist_p1p2_pl,edge_p1_before,edge_p2_before,edge_p1_after,edge_p2_after,pl_p1_before,pl_p2_before,pl_p1_after,pl_p2_after
0,PL,0,0,0.543624,3.28571,0.268456,0.483221,0.378378,0.527027,1.19048,3.04762,2.33333,3.28571
50,PL,0,0,0.529032,3.33333,0.261438,0.411765,0.407895,0.453947,1.2381,2.66667,2.42857,2.57143
100,PL,0,0,0.480519,3,0.285714,0.415584,0.440789,0.434211,1.04762,2.57143,2.7619,2.80952
150,PL,0,0,0.48366,2.71429,0.228758,0.437908,0.368421,0.480263,0.809524,2.38095,1.90476,2.57143
200,PL,0,0,0.61039,3.47619,0.228758,0.54902,0.605263,0.526316,1.14286,3,3.42857,3.28571
250,PL,0,0,0.535948,2.90476,0.144737,0.506579,0.414474,0.539474,0.571429,2.71429,1.80952,2.71429
300,PL,0,0,0.483871,3.04762,0.253247,0.415584,0.405229,0.346405,1.38095,2.38095,2.57143,1.80952
350,PL,0,0,0.51634,2.80952,0.228758,0.48366,0.519737,0.578947,0.761905,2.38095,2.71429,3.19048
400,PL,0,0,0.590909,3.33333,0.24183,0.568627,0.385621,0.555556,1.04762,3,2.19048,2.95238
450,PL,0,0,0.562092,3.04762,0.189542,0.51634,0.375,0.552632,0.857143,2.85714,1.71429,3.28571
500,PL,0,0,0.551948,2.85714,0.272727,0.487013,0.525974,0.519481,1.09524,2.42857,3.09524,2.85714
550,PL,0,0,0.532468,2.95238,0.285714,0.480519,0.493506,0.5,1,2.66667,2.71429,3
600,PL,0,0,0.490323,3.2381,0.25974,0.474026,0.509804,0.51634,1.19048,2.90476,3.14286,3.14286
650,PL,0,0,0.564935,3.47619,0.339869,0.490196,0.496732,0.562092,1.42857,2.90476,2.66667,3.28571
700,PL,0,0,0.590909,3.14286,0.285714,0.474026,0.532468,0.564935,1.09524,2.7619,3.28571,3.2381
750,PL,0,0,0.558442,3.33333,0.324675,0.435065,0.519481,0.551948,1.19048,2.28571,3.14286,3.66667
800,PL,0,0,0.506494,3,0.227273,0.454545,0.54902,0.48366,0.904762,2.71429,3.09524,3.19048
850,PL,0,0,0.571429,3.42857,0.25974,0.512987,0.538961,0.590909,1.19048,2.61905,2.85714,3.42857
900,PL,0,0,0.558442,3.04762,0.326797,0.444444,0.532468,0.545455,1.33333,2.38095,2.90476,2.90476
950,PL,0,0,0.577922,3.2381,0.25974,0.493506,0.496732,0.627451,1.04762,2.71429,2.57143,3.52381
1000,PL,0,0,0.5,3.09524,0.24026,0.402597,0.532468,0.519481,1.09524,2.52381,3.19048,3.28571
1050,PL,0,0,0.642857,3.61905,0.363636,0.5,0.525974,0.506494,1.38095,2.90476,2.90476,2.7619
1100,PL,1,1,0,0,0,0,0.0454545,0.0454545,0,0,0.190476,0.190476
1150,PL,0,1,0.525974,3.2381,0.246753,0.480519,0.571429,0.577922,1.14286,2.61905,3.47619,3.71429
1200,PL,0,0,0.532468,3.28571,0.344156,0.467532,0.525974,0.519481,1.28571,2.80952,3.09524,3.09524
